,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,score,reviews_count,platform_name_5,tags_extracted,exceptional_,recommended_,meh_,skip_
0,Dragon Ball Xenoverse,8.0,2015-02-05,3.49,4.0,193.0,1443.0,44.852142,197.0,,"['Singleplayer', 'Multiplayer']",36.84,57.89,5.26,0.0
1,Dragon Ball: Advanced Adventure,0.0,2004-11-18,4.32,4.0,19.0,260.0,39.78727,19.0,,"['Singleplayer', 'Multiplayer']",13.95,60.47,20.93,4.65
2,Dragon Ball Z: Budokai,0.0,2002-11-02,3.79,4.0,40.0,201.0,39.78727,43.0,Nintendo Switch,"['Singleplayer', 'Multiplayer']",19.46,53.02,16.78,10.74
3,Dragon Ball Z: Kakarot,7.0,2020-01-16,3.7,4.0,143.0,295.0,39.78727,149.0,,['Singleplayer'],14.71,55.88,23.53,5.88
4,Dragon Ball Z: Budokai Tenkaichi,0.0,2005-10-06,3.74,4.0,31.0,168.0,38.028862,34.0,,['Singleplayer'],9.84,56.83,25.68,7.65
5,Dragon Ball Xenoverse 2,16.0,2016-10-25,3.61,4.0,179.0,891.0,37.883926,183.0,,"['Singleplayer', 'Multiplayer']",0.0,54.76,30.95,14.29
6,Dragon Ball: Raging Blast,0.0,2009-10-11,3.26,4.0,41.0,650.0,37.54011,42.0,,['Singleplayer'],0.0,74.07,18.52,7.41
7,Dragon Ball Z: Budokai 2,0.0,2003-12-04,3.59,4.0,24.0,152.0,36.718754,27.0,,['Singleplayer'],12.82,20.51,53.85,12.82
8,Dragon Ball GT: Final Bout,0.0,1997-07-31,3.21,3.0,38.0,46.0,36.5758,39.0,,['Singleplayer'],43.48,50.0,6.52,0.0
9,Dragon Ball Z: Budokai 3,0.0,2004-11-16,4.37,4.0,43.0,53.0,36.5758,46.0,,['Singleplayer'],28.57,62.5,7.14,1.79
10,Dragon Ball Z: Budokai Tenkaichi 2,0.0,2006-10-05,4.16,4.0,53.0,305.0,35.451237,56.0,,['Singleplayer'],6.82,38.64,43.18,11.36
11,Dragon Ball Z: Burst Limit,0.0,2008-01-01,3.3,3.0,42.0,645.0,34.741585,44.0,,['Singleplayer'],12.12,54.55,21.21,12.12
12,Dragon Ball: Raging Blast 2,0.0,2010-11-02,3.55,4.0,29.0,776.0,34.280426,33.0,,['Multiplayer'],57.72,31.54,6.71,4.03
13,Dragon Ball Z: Budokai Tenkaichi 3,15.0,2007-10-04,4.39,5.0,145.0,314.0,34.2541,149.0,,['Multiplayer'],4.35,39.13,21.74,34.78
14,Dragon Ball Z: The Legacy of Goku,0.0,2002-05-14,2.78,4.0,20.0,278.0,33.568695,23.0,,['Singleplayer'],9.52,9.52,38.1,42.86
15,Dragon Ball Z: Battle of Z,0.0,2014-01-23,2.43,1.0,19.0,795.0,32.94345,21.0,,['Multiplayer'],33.18,49.44,14.25,3.12
16,DRAGON BALL FighterZ,6.0,2018-01-25,4.1,4.0,434.0,486.0,31.104065,449.0,,"['Singleplayer', 'Multiplayer']",0.0,0.0,0.0,0.0
17,Dragon Ball Z: Idainaru Dragon Ball Densetsu,0.0,1996-05-31,3.7,4.0,10.0,341.0,29.399708,10.0,,['Singleplayer'],0.0,0.0,0.0,0.0
