,name,playtime,released,background_image,rating,rating_top,ratings_count,suggestions_count,score,reviews_count,rating_title_0,rating_percentage_0,rating_title_1,rating_percentage_1,rating_title_2,rating_percentage_2,rating_title_3,rating_percentage_3,platform_name_0,platform_name_1,platform_name_2,platform_name_3,platform_name_4,genre_0,genre_1,tags_extracted
0,"Pokémon Gold, Silver",900.0,1999-11-21,https://media.rawg.io/media/screenshots/6fe/6fee3969b73bfccd935517c0c15826d8.jpg,4.38,5.0,423.0,161.0,40.427364,428.0,exceptional,57.71,recommended,32.48,meh,4.91,skip,4.91,Nintendo 3DS,Game Boy Color,Game Boy,undefined,undefined,RPG,undefined,"['Singleplayer', 'Multiplayer']"
1,Pokémon Snap,2.0,1999-03-21,https://media.rawg.io/media/games/ec4/ec4be61f0f41cf1d138501330a1b54ee.jpg,3.94,4.0,159.0,351.0,23.776854,160.0,recommended,50.62,exceptional,26.88,meh,17.5,skip,5.0,Nintendo Switch,Wii U,Wii,Nintendo 64,undefined,Simulation,undefined,['Singleplayer']
2,Pokémon Colosseum,0.0,2004-02-10,https://media.rawg.io/media/games/8f7/8f738dce65f8bd826fc7e1b756376f29.jpg,3.82,4.0,74.0,420.0,23.559412,74.0,recommended,60.81,meh,20.27,exceptional,14.86,skip,4.05,GameCube,undefined,undefined,undefined,undefined,RPG,undefined,"['Singleplayer', 'Multiplayer']"
4,"Pokémon X, Y",84.0,2013-10-12,https://media.rawg.io/media/games/753/753f5d584a5f7e69aa4c05dd3b6df7c9.jpg,3.91,4.0,388.0,428.0,22.995323,392.0,recommended,57.4,meh,23.26,exceptional,15.41,skip,3.93,Nintendo 3DS,undefined,undefined,undefined,undefined,Adventure,RPG,[]
5,"Pokémon Sun, Moon",0.0,2016-11-18,https://media.rawg.io/media/screenshots/a00/a0013d8c9ddb1878c2d1030c822b7525.jpg,3.8,4.0,325.0,174.0,22.951832,331.0,recommended,57.43,exceptional,34.11,meh,5.83,skip,2.62,Nintendo DS,undefined,undefined,undefined,undefined,Adventure,RPG,[]
6,"Pokémon Diamond, Pearl",2.0,2007-04-22,https://media.rawg.io/media/screenshots/47b/47b915b28e72ead7a1775f057af421f6.jpeg,4.2,4.0,339.0,63.0,22.620184,343.0,exceptional,52.09,recommended,41.06,meh,4.37,skip,2.47,Game Boy Advance,undefined,undefined,undefined,undefined,Strategy,RPG,[]
7,"Pokémon FireRed, LeafGreen",0.0,2004-01-29,https://media.rawg.io/media/screenshots/bf7/bf76ba791262ca3a3580fc776bdecb87.jpg,4.4,5.0,520.0,141.0,22.576591,526.0,recommended,50.89,exceptional,36.39,meh,11.24,skip,1.48,Nintendo DS,undefined,undefined,undefined,undefined,Adventure,RPG,"['Singleplayer', 'Multiplayer']"
8,"Pokémon Black, White",0.0,2011-03-06,https://media.rawg.io/media/games/3dd/3ddf27683a9aecf1cf39605100651a99.jpg,4.21,4.0,336.0,252.0,21.76112,338.0,recommended,53.67,meh,25.16,exceptional,14.88,skip,6.29,Nintendo Switch,undefined,undefined,undefined,undefined,Adventure,RPG,[]
9,Pokémon Sword and Shield,0.0,2019-11-15,https://media.rawg.io/media/games/82f/82f7b1424c5ee7eebee83faf694889c5.jpg,3.71,4.0,465.0,404.0,21.730389,477.0,exceptional,60.61,recommended,28.67,skip,6.06,meh,4.66,Nintendo DS,undefined,undefined,undefined,undefined,RPG,undefined,[]
10,"Pokémon HeartGold, SoulSilver",0.0,2010-03-14,https://media.rawg.io/media/games/a9b/a9b87910722fd2ce7d14d8f9a7fa4d5a.jpg,4.38,5.0,425.0,115.0,21.66484,429.0,recommended,50.57,exceptional,18.39,meh,16.09,skip,14.94,Nintendo Switch,undefined,undefined,undefined,undefined,RPG,undefined,[]
11,Pokémon Scarlet and Violet,0.0,2022-11-18,https://media.rawg.io/media/games/5ab/5abb8e4af55eb8c867410c3a740355b9.jpg,3.57,4.0,87.0,177.0,21.369213,87.0,exceptional,56.5,recommended,33.01,meh,6.99,skip,3.5,Nintendo 3DS,Game Boy,undefined,undefined,undefined,Adventure,Action,[]
12,"Pokémon Red, Blue, Yellow",33.0,1996-02-27,https://media.rawg.io/media/games/356/3566c06f8e5d3b45f4163dec1d9968a2.jpg,4.39,5.0,508.0,228.0,21.186943,515.0,exceptional,47.83,recommended,21.74,meh,17.39,skip,13.04,PC,PlayStation 4,Nintendo Switch,macOS,Linux,Adventure,undefined,"['Singleplayer', 'Multiplayer']"
13,The Silver Case,4.0,2016-10-06,https://media.rawg.io/media/screenshots/123/123091c44f5310dfca1415c750c6aafb_ECUoDPz.jpg,3.91,5.0,46.0,256.0,21.085163,46.0,exceptional,52.45,recommended,38.98,meh,5.31,skip,3.27,Game Boy Advance,undefined,undefined,undefined,undefined,Adventure,RPG,['Singleplayer']
14,"Pokémon Ruby, Sapphire, Emerald",0.0,2004-09-16,https://media.rawg.io/media/screenshots/7e5/7e56cc0421adcea354ed6b85057f2caa.jpeg,4.37,5.0,488.0,233.0,20.906853,490.0,meh,51.72,recommended,27.59,skip,17.24,exceptional,3.45,iOS,Android,undefined,undefined,undefined,Simulation,undefined,"['Singleplayer', 'Multiplayer']"
17,Pokémon: Magikarp Jump,0.0,2017-05-25,https://media.rawg.io/media/screenshots/120/120aea0c9d5671357062881b6939c442.jpg,3.0,3.0,28.0,82.0,20.619797,29.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,[]
18,Pokémon Legends: Arceus,0.0,2022-01-28,https://media.rawg.io/media/games/80a/80a3e1060b49c02f901e781b263cd881.jpg,4.04,5.0,138.0,377.0,20.619797,142.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,[]
19,"Pokémon Alpha Sapphire, Omega Ruby",40.0,2014-11-21,https://media.rawg.io/media/screenshots/47f/47f1aa9b0975820cb5af16b9d263e663.jpg,4.15,4.0,296.0,297.0,18.932613,299.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,[]
