,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,score,reviews_count,rating_title_0,rating_percentage_0,rating_title_1,rating_percentage_1,rating_title_2,rating_percentage_2,rating_title_3,rating_percentage_3,platform_name_5,tags_extracted
1,Dragon Ball Xenoverse,8.0,2015-02-05,3.49,4.0,193.0,1443.0,44.852142,197.0,recommended,57.89,exceptional,36.84,meh,5.26,undefined,0.0,,"['Singleplayer', 'Multiplayer']"
2,Dragon Ball: Advanced Adventure,0.0,2004-11-18,4.32,4.0,19.0,260.0,39.78727,19.0,recommended,60.47,meh,20.93,exceptional,13.95,skip,4.65,,"['Singleplayer', 'Multiplayer']"
3,Dragon Ball Z: Budokai,0.0,2002-11-02,3.79,4.0,40.0,201.0,39.78727,43.0,recommended,53.02,exceptional,19.46,meh,16.78,skip,10.74,Nintendo Switch,"['Singleplayer', 'Multiplayer']"
4,Dragon Ball Z: Kakarot,7.0,2020-01-16,3.7,4.0,143.0,295.0,39.78727,149.0,recommended,55.88,meh,23.53,exceptional,14.71,skip,5.88,,['Singleplayer']
5,Dragon Ball Z: Budokai Tenkaichi,0.0,2005-10-06,3.74,4.0,31.0,168.0,38.028862,34.0,recommended,56.83,meh,25.68,exceptional,9.84,skip,7.65,,[]
6,Dragon Ball Xenoverse 2,16.0,2016-10-25,3.61,4.0,179.0,891.0,37.883926,183.0,recommended,54.76,meh,30.95,skip,14.29,undefined,0.0,,"['Singleplayer', 'Multiplayer']"
7,Dragon Ball: Raging Blast,0.0,2009-10-11,3.26,4.0,41.0,650.0,37.54011,42.0,recommended,74.07,meh,18.52,skip,7.41,undefined,0.0,,[]
8,Dragon Ball Z: Budokai 2,0.0,2003-12-04,3.59,4.0,24.0,152.0,36.718754,27.0,meh,53.85,recommended,20.51,exceptional,12.82,skip,12.82,,[]
9,Dragon Ball GT: Final Bout,0.0,1997-07-31,3.21,3.0,38.0,46.0,36.5758,39.0,recommended,50.0,exceptional,43.48,meh,6.52,undefined,0.0,,[]
10,Dragon Ball Z: Budokai 3,0.0,2004-11-16,4.37,4.0,43.0,53.0,36.5758,46.0,recommended,62.5,exceptional,28.57,meh,7.14,skip,1.79,,[]
11,Dragon Ball Z: Budokai Tenkaichi 2,0.0,2006-10-05,4.16,4.0,53.0,305.0,35.451237,56.0,meh,43.18,recommended,38.64,skip,11.36,exceptional,6.82,,[]
12,Dragon Ball Z: Burst Limit,0.0,2008-01-01,3.3,3.0,42.0,645.0,34.741585,44.0,recommended,54.55,meh,21.21,exceptional,12.12,skip,12.12,,[]
13,Dragon Ball: Raging Blast 2,0.0,2010-11-02,3.55,4.0,29.0,776.0,34.280426,33.0,exceptional,57.72,recommended,31.54,meh,6.71,skip,4.03,,['Multiplayer']
14,Dragon Ball Z: Budokai Tenkaichi 3,15.0,2007-10-04,4.39,5.0,145.0,314.0,34.2541,149.0,recommended,39.13,skip,34.78,meh,21.74,exceptional,4.35,,['Multiplayer']
15,Dragon Ball Z: The Legacy of Goku,0.0,2002-05-14,2.78,4.0,20.0,278.0,33.568695,23.0,skip,42.86,meh,38.1,exceptional,9.52,recommended,9.52,,['Singleplayer']
16,Dragon Ball Z: Battle of Z,0.0,2014-01-23,2.43,1.0,19.0,795.0,32.94345,21.0,recommended,49.44,exceptional,33.18,meh,14.25,skip,3.12,,['Multiplayer']
18,DRAGON BALL FighterZ,6.0,2018-01-25,4.1,4.0,434.0,486.0,31.104065,449.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,0.0,,"['Singleplayer', 'Multiplayer']"
19,Dragon Ball Z: Idainaru Dragon Ball Densetsu,0.0,1996-05-31,3.7,4.0,10.0,341.0,29.399708,10.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,0.0,,['Singleplayer']
